politifact=598	epochs=100	train=0.05	val=0.35	test=0.60
sp_0_seqlen_20	0.7028	0.6717	0.7600	0.7131	0.7407	0.6486	0.6916
sp_0_seqlen_50	0.7194	0.6927	0.7600	0.7248	0.7500	0.6811	0.7139
sp_0_seqlen_100	0.7083	0.6944	0.7143	0.7042	0.7222	0.7027	0.7123
sp_0_seqlen_1000	0.6556	0.6032	0.8514	0.7062	0.7699	0.4703	0.5839
sp_1_seqlen_20	0.7111	0.6375	0.9249	0.7547	0.8807	0.5134	0.6486
sp_1_seqlen_50	0.7361	0.6757	0.8671	0.7595	0.8333	0.6150	0.7077
sp_1_seqlen_100	0.7111	0.6468	0.8786	0.7451	0.8320	0.5561	0.6667
sp_1_seqlen_1000	0.6556	0.6000	0.8497	0.7033	0.7739	0.4759	0.5894
sp_2_seqlen_20	0.7528	0.7956	0.6412	0.7101	0.7265	0.8526	0.7845
sp_2_seqlen_50	0.7806	0.8227	0.6824	0.7460	0.7534	0.8684	0.8068
sp_2_seqlen_100	0.7944	0.8636	0.6706	0.7550	0.7544	0.9053	0.8230
sp_2_seqlen_1000	0.6778	0.6116	0.8706	0.7184	0.8136	0.5053	0.6234
sp_3_seqlen_20	0.7306	0.7165	0.7680	0.7413	0.7470	0.6927	0.7188
sp_3_seqlen_50	0.6833	0.6634	0.7514	0.7047	0.7097	0.6145	0.6587
sp_3_seqlen_100	0.7333	0.7273	0.7514	0.7391	0.7399	0.7151	0.7273
sp_3_seqlen_1000	0.6972	0.6682	0.7901	0.7241	0.7397	0.6034	0.6646
sp_4_seqlen_20	0.7306	0.6882	0.7665	0.7252	0.7759	0.6995	0.7357
sp_4_seqlen_50	0.7639	0.7303	0.7784	0.7536	0.7967	0.7513	0.7733
sp_4_seqlen_100	0.8167	0.8344	0.7545	0.7925	0.8038	0.8705	0.8358
sp_4_seqlen_1000	0.7083	0.6520	0.7964	0.7170	0.7821	0.6321	0.6991
politifact=598	epochs=100	train=0.10	val=0.30	test=0.60
sp_0_seqlen_20	0.7528	0.7688	0.7029	0.7343	0.7400	0.8000	0.7688
sp_0_seqlen_50	0.7833	0.7939	0.7486	0.7706	0.7744	0.8162	0.7947
sp_0_seqlen_100	0.7944	0.8061	0.7600	0.7824	0.7846	0.8270	0.8053
sp_0_seqlen_1000	0.7222	0.7483	0.6457	0.6933	0.7033	0.7946	0.7462
sp_1_seqlen_20	0.7056	0.6949	0.7029	0.6989	0.7158	0.7081	0.7120
sp_1_seqlen_50	0.7500	0.8400	0.6000	0.7000	0.7021	0.8919	0.7857
sp_1_seqlen_100	0.7833	0.8440	0.6800	0.7532	0.7443	0.8811	0.8069
sp_1_seqlen_1000	0.7139	0.7432	0.6286	0.6811	0.6934	0.7946	0.7406
sp_2_seqlen_20	0.7389	0.7556	0.7312	0.7432	0.7222	0.7471	0.7345
sp_2_seqlen_50	0.7444	0.8672	0.5968	0.7070	0.6767	0.9023	0.7734
sp_2_seqlen_100	0.7500	0.8243	0.6559	0.7305	0.6981	0.8506	0.7668
sp_2_seqlen_1000	0.6639	0.6383	0.8065	0.7126	0.7120	0.5115	0.5953
sp_3_seqlen_20	0.7472	0.7386	0.7429	0.7407	0.7554	0.7514	0.7534
sp_3_seqlen_50	0.7806	0.8380	0.6800	0.7508	0.7431	0.8757	0.8040
sp_3_seqlen_100	0.7639	0.7885	0.7029	0.7432	0.7451	0.8216	0.7815
sp_3_seqlen_1000	0.7056	0.6620	0.8057	0.7268	0.7687	0.6108	0.6807
sp_4_seqlen_20	0.7444	0.7529	0.7278	0.7401	0.7366	0.7611	0.7486
sp_4_seqlen_50	0.7944	0.8011	0.7833	0.7921	0.7880	0.8056	0.7967
sp_4_seqlen_100	0.7722	0.8025	0.7222	0.7602	0.7475	0.8222	0.7831
sp_4_seqlen_1000	0.7139	0.6954	0.7611	0.7268	0.7362	0.6667	0.6997
politifact=598	epochs=100	train=0.20	val=0.30	test=0.50
sp_0_seqlen_20	0.7500	0.7704	0.7027	0.7350	0.7333	0.7961	0.7634
sp_0_seqlen_50	0.7800	0.8060	0.7297	0.7660	0.7590	0.8289	0.7925
sp_0_seqlen_100	0.7967	0.8129	0.7635	0.7875	0.7826	0.8289	0.8051
sp_0_seqlen_1000	0.6733	0.6316	0.8108	0.7101	0.7455	0.5395	0.6260
sp_1_seqlen_20	0.7367	0.7556	0.6892	0.7208	0.7212	0.7829	0.7508
sp_1_seqlen_50	0.7467	0.8396	0.6014	0.7008	0.6959	0.8882	0.7803
sp_1_seqlen_100	0.8067	0.8462	0.7432	0.7914	0.7765	0.8684	0.8199
sp_1_seqlen_1000	0.6800	0.6461	0.7770	0.7055	0.7295	0.5855	0.6496
sp_2_seqlen_20	0.7400	0.6937	0.7929	0.7400	0.7929	0.6937	0.7400
sp_2_seqlen_50	0.7967	0.8160	0.7286	0.7698	0.7829	0.8562	0.8179
sp_2_seqlen_100	0.7933	0.7532	0.8286	0.7891	0.8356	0.7625	0.7974
sp_2_seqlen_1000	0.6733	0.6040	0.8714	0.7135	0.8163	0.5000	0.6202
sp_3_seqlen_20	0.7867	0.7448	0.8000	0.7714	0.8258	0.7758	0.8000
sp_3_seqlen_50	0.7400	0.6610	0.8667	0.7500	0.8537	0.6364	0.7292
sp_3_seqlen_100	0.6933	0.6103	0.8815	0.7212	0.8476	0.5394	0.6593
sp_3_seqlen_1000	0.6800	0.6054	0.8296	0.7000	0.8000	0.5576	0.6571
sp_4_seqlen_20	0.8033	0.8160	0.7391	0.7757	0.7943	0.8580	0.8249
sp_4_seqlen_50	0.7833	0.7517	0.7899	0.7703	0.8129	0.7778	0.7950
sp_4_seqlen_100	0.8400	0.8750	0.7609	0.8140	0.8167	0.9074	0.8596
sp_4_seqlen_1000	0.7033	0.6283	0.8696	0.7295	0.8349	0.5617	0.6716
politifact=598	epochs=100	train=0.50	val=0.20	test=0.30
sp_0_seqlen_20	0.8000	0.7753	0.8118	0.7931	0.8242	0.7895	0.8065
sp_0_seqlen_50	0.8167	0.7826	0.8471	0.8136	0.8523	0.7895	0.8197
sp_0_seqlen_100	0.8056	0.8205	0.7529	0.7853	0.7941	0.8526	0.8223
sp_0_seqlen_1000	0.6778	0.6116	0.8706	0.7184	0.8136	0.5053	0.6234
sp_1_seqlen_20	0.7833	0.8000	0.7356	0.7665	0.7700	0.8280	0.7979
sp_1_seqlen_50	0.7944	0.8571	0.6897	0.7643	0.7545	0.8925	0.8177
sp_1_seqlen_100	0.8278	0.8784	0.7471	0.8075	0.7925	0.9032	0.8442
sp_1_seqlen_1000	0.6111	0.5842	0.6782	0.6277	0.6456	0.5484	0.5930
sp_2_seqlen_20	0.7611	0.8133	0.6778	0.7394	0.7238	0.8444	0.7795
sp_2_seqlen_50	0.7556	0.7300	0.8111	0.7684	0.7875	0.7000	0.7412
sp_2_seqlen_100	0.7722	0.7952	0.7333	0.7630	0.7526	0.8111	0.7807
sp_2_seqlen_1000	0.7000	0.7500	0.6000	0.6667	0.6667	0.8000	0.7273
sp_3_seqlen_20	0.7889	0.8105	0.7938	0.8021	0.7647	0.7831	0.7738
sp_3_seqlen_50	0.8222	0.8037	0.8866	0.8431	0.8493	0.7470	0.7949
sp_3_seqlen_100	0.8389	0.8617	0.8351	0.8482	0.8140	0.8434	0.8284
sp_3_seqlen_1000	0.7500	0.7549	0.7938	0.7739	0.7436	0.6988	0.7205
sp_4_seqlen_20	0.7167	0.7500	0.6593	0.7018	0.6900	0.7753	0.7302
sp_4_seqlen_50	0.8056	0.8590	0.7363	0.7929	0.7647	0.8764	0.8168
sp_4_seqlen_100	0.8056	0.9000	0.6923	0.7826	0.7455	0.9213	0.8241
sp_4_seqlen_1000	0.7278	0.7500	0.6923	0.7200	0.7083	0.7640	0.7351
gossipcop=17519	epochs=100	train=0.05	val=0.35	test=0.60
sp_0_seqlen_20	0.9250	0.8182	0.8601	0.8387	0.9584	0.9440	0.9512
sp_0_seqlen_50	0.9458	0.8694	0.8950	0.8820	0.9690	0.9606	0.9648
sp_0_seqlen_100	0.9469	0.8753	0.8929	0.8840	0.9685	0.9627	0.9656
sp_0_seqlen_1000	0.9043	0.8426	0.7102	0.7707	0.9189	0.9611	0.9395
sp_1_seqlen_20	0.9311	0.8518	0.8433	0.8475	0.9541	0.9569	0.9555
sp_1_seqlen_50	0.9444	0.8877	0.8646	0.8760	0.9606	0.9679	0.9642
sp_1_seqlen_100	0.9435	0.8933	0.8529	0.8726	0.9574	0.9701	0.9637
sp_1_seqlen_1000	0.9091	0.8571	0.7192	0.7821	0.9213	0.9648	0.9425
sp_2_seqlen_20	0.9286	0.8517	0.8246	0.8379	0.9498	0.9586	0.9542
sp_2_seqlen_50	0.9327	0.8701	0.8224	0.8456	0.9496	0.9646	0.9570
sp_2_seqlen_100	0.9474	0.8866	0.8772	0.8819	0.9647	0.9676	0.9662
sp_2_seqlen_1000	0.9096	0.8408	0.7358	0.7848	0.9264	0.9598	0.9428
sp_3_seqlen_20	0.9292	0.8444	0.8458	0.8451	0.9544	0.9539	0.9541
sp_3_seqlen_50	0.9445	0.8841	0.8712	0.8776	0.9621	0.9662	0.9641
sp_3_seqlen_100	0.9471	0.9058	0.8575	0.8810	0.9585	0.9736	0.9660
sp_3_seqlen_1000	0.8938	0.8715	0.6271	0.7293	0.8981	0.9726	0.9339
sp_4_seqlen_20	0.9297	0.8370	0.8536	0.8452	0.9573	0.9518	0.9545
sp_4_seqlen_50	0.9425	0.8757	0.8672	0.8714	0.9616	0.9643	0.9629
sp_4_seqlen_100	0.9480	0.8986	0.8663	0.8822	0.9616	0.9717	0.9666
sp_4_seqlen_1000	0.9025	0.8277	0.7153	0.7674	0.9205	0.9568	0.9383
gossipcop=17519	epochs=100	train=0.10	val=0.30	test=0.60
sp_0_seqlen_20	0.9481	0.8684	0.9053	0.8865	0.9723	0.9604	0.9663
sp_0_seqlen_50	0.9535	0.8744	0.9253	0.8991	0.9781	0.9616	0.9698
sp_0_seqlen_100	0.9584	0.8976	0.9193	0.9083	0.9765	0.9697	0.9731
sp_0_seqlen_1000	0.9087	0.8601	0.7074	0.7763	0.9197	0.9668	0.9426
sp_1_seqlen_20	0.9356	0.8657	0.8448	0.8551	0.9553	0.9620	0.9586
sp_1_seqlen_50	0.9490	0.8844	0.8896	0.8870	0.9679	0.9662	0.9671
sp_1_seqlen_100	0.9491	0.8643	0.9180	0.8903	0.9758	0.9581	0.9669
sp_1_seqlen_1000	0.9095	0.8406	0.7378	0.7859	0.9265	0.9594	0.9427
sp_2_seqlen_20	0.9420	0.8766	0.8640	0.8703	0.9606	0.9646	0.9626
sp_2_seqlen_50	0.9496	0.8679	0.9155	0.8911	0.9750	0.9595	0.9672
sp_2_seqlen_100	0.9580	0.8979	0.9177	0.9077	0.9759	0.9697	0.9728
sp_2_seqlen_1000	0.9088	0.8385	0.7369	0.7844	0.9261	0.9587	0.9421
sp_3_seqlen_20	0.9327	0.8830	0.8060	0.8428	0.9455	0.9692	0.9572
sp_3_seqlen_50	0.9528	0.8790	0.9149	0.8966	0.9752	0.9637	0.9694
sp_3_seqlen_100	0.9593	0.9001	0.9200	0.9100	0.9768	0.9706	0.9737
sp_3_seqlen_1000	0.9187	0.8419	0.7835	0.8116	0.9389	0.9576	0.9481
sp_4_seqlen_20	0.9392	0.8409	0.8984	0.8687	0.9701	0.9510	0.9605
sp_4_seqlen_50	0.9480	0.8791	0.8899	0.8845	0.9681	0.9647	0.9664
sp_4_seqlen_100	0.9599	0.9021	0.9205	0.9112	0.9769	0.9712	0.9741
sp_4_seqlen_1000	0.9150	0.8323	0.7765	0.8034	0.9368	0.9549	0.9457
